"id","sale_date","sale_time","gender","age","category","quantity","price_per_unit","total_sale","year","month","timeofday","name_day"
86,"2023-09-29","18:55:00","Male",19,"Beauty",3,"30.00","90.00",2023,"September","Evening","Friday"
87,"2022-09-07","18:09:00","Female",28,"Beauty",2,"50.00","100.00",2022,"September","Evening","Wednesday"
88,"2023-02-16","08:31:00","Male",56,"Clothing",1,"500.00","500.00",2023,"February","Morning","Thursday"
89,"2023-12-30","21:15:00","Female",55,"Electronics",4,"500.00","2000.00",2023,"December","Night","Saturday"
90,"2023-09-10","17:53:00","Female",51,"Electronics",1,"30.00","30.00",2023,"September","Evening","Sunday"
91,"2023-04-14","06:31:00","Female",55,"Electronics",1,"500.00","500.00",2023,"April","Morning","Friday"
92,"2022-03-21","19:41:00","Female",51,"Electronics",4,"30.00","120.00",2022,"March","Evening","Monday"
93,"2022-01-25","20:52:00","Female",35,"Beauty",4,"500.00","2000.00",2022,"January","Evening","Tuesday"
94,"2023-03-13","22:39:00","Female",47,"Beauty",2,"500.00","1000.00",2023,"March","Night","Monday"
95,"2022-11-06","19:57:00","Female",32,"Clothing",2,"30.00","60.00",2022,"November","Evening","Sunday"
96,"2023-11-22","14:10:00","Female",44,"Clothing",2,"300.00","600.00",2023,"November","Afternoon","Wednesday"
97,"2022-11-26","18:17:00","Female",51,"Beauty",2,"500.00","1000.00",2022,"November","Evening","Saturday"
98,"2023-04-09","19:41:00","Female",55,"Beauty",2,"50.00","100.00",2023,"April","Evening","Sunday"
99,"2023-11-19","15:12:00","Female",50,"Electronics",4,"300.00","1200.00",2023,"November","Afternoon","Sunday"
100,"2022-02-08","19:34:00","Male",41,"Electronics",1,"30.00","30.00",2022,"February","Evening","Tuesday"
101,"2022-01-08","08:46:00","Male",32,"Clothing",2,"300.00","600.00",2022,"January","Morning","Saturday"
102,"2023-04-17","21:34:00","Female",47,"Beauty",2,"25.00","50.00",2023,"April","Night","Monday"
103,"2022-11-12","10:05:00","Female",59,"Clothing",1,"25.00","25.00",2022,"November","Morning","Saturday"
104,"2022-06-09","22:58:00","Female",34,"Beauty",2,"500.00","1000.00",2022,"June","Night","Thursday"
105,"2023-06-18","18:05:00","Female",22,"Electronics",1,"500.00","500.00",2023,"June","Evening","Sunday"
106,"2023-05-17","18:58:00","Female",46,"Clothing",1,"50.00","50.00",2023,"May","Evening","Wednesday"
107,"2022-10-06","09:18:00","Female",21,"Clothing",4,"300.00","1200.00",2022,"October","Morning","Thursday"
108,"2023-01-24","09:38:00","Female",27,"Beauty",3,"25.00","75.00",2023,"January","Morning","Tuesday"
109,"2023-09-06","19:57:00","Female",34,"Electronics",4,"500.00","2000.00",2023,"September","Evening","Wednesday"
110,"2022-11-18","17:28:00","Male",27,"Clothing",3,"300.00","900.00",2022,"November","Evening","Friday"
111,"2023-04-15","09:45:00","Female",34,"Electronics",3,"500.00","1500.00",2023,"April","Morning","Saturday"
112,"2023-12-25","18:44:00","Male",37,"Clothing",3,"500.00","1500.00",2023,"December","Evening","Monday"
113,"2022-10-08","19:14:00","Female",41,"Electronics",2,"25.00","50.00",2022,"October","Evening","Saturday"
114,"2022-04-17","20:57:00","Female",22,"Beauty",4,"25.00","100.00",2022,"April","Evening","Sunday"
115,"2022-09-02","19:21:00","Male",51,"Clothing",3,"500.00","1500.00",2022,"September","Evening","Friday"
116,"2023-06-22","20:04:00","Female",23,"Clothing",1,"30.00","30.00",2023,"June","Evening","Thursday"
117,"2023-08-04","11:38:00","Male",19,"Electronics",2,"500.00","1000.00",2023,"August","Morning","Friday"
118,"2023-03-13","20:07:00","Female",30,"Electronics",4,"500.00","2000.00",2023,"March","Evening","Monday"
119,"2023-09-01","09:11:00","Female",60,"Clothing",3,"50.00","150.00",2023,"September","Morning","Friday"
120,"2023-03-31","19:35:00","Male",60,"Beauty",1,"50.00","50.00",2023,"March","Evening","Friday"
121,"2023-10-07","18:57:00","Female",28,"Electronics",4,"50.00","200.00",2023,"October","Evening","Saturday"
122,"2023-12-01","19:02:00","Male",64,"Electronics",4,"30.00","120.00",2023,"December","Evening","Friday"
123,"2023-08-11","19:00:00","Female",40,"Electronics",2,"30.00","60.00",2023,"August","Evening","Friday"
124,"2022-12-24","21:17:00","Male",33,"Clothing",4,"500.00","2000.00",2022,"December","Night","Saturday"
125,"2022-09-28","18:48:00","Male",48,"Clothing",2,"50.00","100.00",2022,"September","Evening","Wednesday"
126,"2022-11-01","18:16:00","Female",28,"Clothing",3,"30.00","90.00",2022,"November","Evening","Tuesday"
127,"2023-05-20","19:37:00","Female",33,"Clothing",2,"25.00","50.00",2023,"May","Evening","Saturday"
128,"2022-12-21","22:22:00","Male",25,"Beauty",1,"500.00","500.00",2022,"December","Night","Wednesday"
129,"2023-04-17","17:42:00","Female",21,"Beauty",2,"300.00","600.00",2023,"April","Evening","Monday"
130,"2023-06-19","06:21:00","Female",57,"Clothing",1,"500.00","500.00",2023,"June","Morning","Monday"
131,"2023-09-29","22:32:00","Female",21,"Beauty",2,"300.00","600.00",2023,"September","Night","Friday"
132,"2023-11-22","20:34:00","Male",42,"Electronics",4,"50.00","200.00",2023,"November","Evening","Wednesday"
133,"2022-06-23","09:01:00","Male",20,"Electronics",3,"300.00","900.00",2022,"June","Morning","Thursday"
134,"2022-08-25","09:03:00","Male",49,"Electronics",1,"50.00","50.00",2022,"August","Morning","Thursday"
135,"2022-04-18","07:22:00","Male",20,"Clothing",2,"25.00","50.00",2022,"April","Morning","Monday"
136,"2023-12-26","08:59:00","Male",44,"Electronics",2,"300.00","600.00",2023,"December","Morning","Tuesday"
137,"2022-09-10","20:42:00","Male",46,"Beauty",2,"500.00","1000.00",2022,"September","Evening","Saturday"
138,"2023-04-27","10:56:00","Male",49,"Clothing",4,"50.00","200.00",2023,"April","Morning","Thursday"
139,"2023-09-15","14:03:00","Male",36,"Beauty",4,"500.00","2000.00",2023,"September","Afternoon","Friday"
140,"2022-07-07","20:20:00","Male",38,"Electronics",1,"30.00","30.00",2022,"July","Evening","Thursday"
141,"2022-11-01","19:26:00","Female",22,"Electronics",1,"50.00","50.00",2022,"November","Evening","Tuesday"
142,"2022-04-08","10:05:00","Male",35,"Electronics",4,"300.00","1200.00",2022,"April","Morning","Friday"
143,"2023-02-11","22:20:00","Female",45,"Clothing",1,"50.00","50.00",2023,"February","Night","Saturday"
144,"2022-03-26","22:18:00","Female",59,"Beauty",3,"500.00","1500.00",2022,"March","Night","Saturday"
145,"2022-11-06","19:21:00","Female",39,"Clothing",3,"25.00","75.00",2022,"November","Evening","Sunday"
146,"2022-11-10","22:01:00","Male",38,"Clothing",4,"50.00","200.00",2022,"November","Night","Thursday"
147,"2022-11-12","20:30:00","Male",23,"Electronics",1,"300.00","300.00",2022,"November","Evening","Saturday"
148,"2023-07-03","20:39:00","Male",18,"Clothing",2,"30.00","60.00",2023,"July","Evening","Monday"
149,"2023-10-14","17:52:00","Male",22,"Clothing",3,"25.00","75.00",2023,"October","Evening","Saturday"
151,"2023-10-12","15:49:00","Male",29,"Clothing",1,"50.00","50.00",2023,"October","Afternoon","Thursday"
152,"2022-06-16","11:58:00","Male",43,"Electronics",4,"500.00","2000.00",2022,"June","Morning","Thursday"
153,"2023-11-19","15:52:00","Male",63,"Electronics",2,"500.00","1000.00",2023,"November","Afternoon","Sunday"
154,"2022-12-24","17:47:00","Male",51,"Electronics",3,"300.00","900.00",2022,"December","Evening","Saturday"
155,"2023-07-18","18:05:00","Male",31,"Electronics",4,"500.00","2000.00",2023,"July","Evening","Tuesday"
156,"2022-12-02","19:34:00","Female",43,"Clothing",4,"25.00","100.00",2022,"December","Evening","Friday"
157,"2022-05-15","21:59:00","Male",62,"Electronics",4,"500.00","2000.00",2022,"May","Night","Sunday"
158,"2022-01-21","11:38:00","Female",44,"Electronics",2,"300.00","600.00",2022,"January","Morning","Friday"
159,"2022-11-10","21:30:00","Male",26,"Clothing",4,"50.00","200.00",2022,"November","Night","Thursday"
160,"2022-07-20","17:08:00","Female",43,"Clothing",2,"50.00","100.00",2022,"July","Evening","Wednesday"
161,"2023-07-01","06:58:00","Male",64,"Beauty",2,"500.00","1000.00",2023,"July","Morning","Saturday"
162,"2023-04-11","19:37:00","Male",39,"Clothing",2,"30.00","60.00",2023,"April","Evening","Tuesday"
163,"2022-10-31","09:38:00","Female",64,"Clothing",3,"50.00","150.00",2022,"October","Morning","Monday"
164,"2023-02-28","18:26:00","Female",47,"Beauty",3,"500.00","1500.00",2023,"February","Evening","Tuesday"
165,"2022-09-24","19:01:00","Female",60,"Clothing",4,"300.00","1200.00",2022,"September","Evening","Saturday"
166,"2023-01-28","11:42:00","Male",34,"Clothing",4,"500.00","2000.00",2023,"January","Morning","Saturday"
167,"2023-09-21","20:58:00","Female",43,"Clothing",3,"50.00","150.00",2023,"September","Evening","Thursday"
168,"2022-04-29","09:20:00","Male",53,"Clothing",1,"300.00","300.00",2022,"April","Morning","Friday"
169,"2022-11-28","18:47:00","Male",18,"Beauty",3,"500.00","1500.00",2022,"November","Evening","Monday"
170,"2023-09-21","20:46:00","Female",25,"Clothing",2,"25.00","50.00",2023,"September","Evening","Thursday"
171,"2022-10-14","20:10:00","Female",52,"Clothing",3,"300.00","900.00",2022,"October","Evening","Friday"
172,"2022-10-21","18:09:00","Male",32,"Beauty",2,"25.00","50.00",2022,"October","Evening","Friday"
173,"2023-12-19","17:30:00","Male",64,"Electronics",4,"30.00","120.00",2023,"December","Evening","Tuesday"
174,"2023-11-15","06:07:00","Female",39,"Beauty",1,"300.00","300.00",2023,"November","Morning","Wednesday"
175,"2023-01-25","10:02:00","Female",31,"Electronics",4,"25.00","100.00",2023,"January","Morning","Wednesday"
176,"2023-05-26","18:15:00","Female",43,"Beauty",2,"50.00","100.00",2023,"May","Evening","Friday"
177,"2023-03-24","08:40:00","Male",45,"Beauty",2,"50.00","100.00",2023,"March","Morning","Friday"
178,"2023-10-11","17:51:00","Male",40,"Clothing",2,"30.00","60.00",2023,"October","Evening","Wednesday"
179,"2023-10-07","20:42:00","Male",31,"Electronics",1,"300.00","300.00",2023,"October","Evening","Saturday"
180,"2022-11-05","10:47:00","Male",41,"Clothing",3,"300.00","900.00",2022,"November","Morning","Saturday"
181,"2023-11-06","19:59:00","Male",19,"Electronics",4,"300.00","1200.00",2023,"November","Evening","Monday"
182,"2023-06-21","19:27:00","Male",62,"Beauty",4,"30.00","120.00",2023,"June","Evening","Wednesday"
183,"2022-09-01","19:22:00","Female",43,"Beauty",3,"300.00","900.00",2022,"September","Evening","Thursday"
184,"2022-02-13","06:44:00","Male",31,"Electronics",4,"50.00","200.00",2022,"February","Morning","Sunday"
185,"2022-06-27","09:48:00","Male",24,"Clothing",1,"25.00","25.00",2022,"June","Morning","Monday"
186,"2022-03-31","18:15:00","Male",20,"Clothing",4,"50.00","200.00",2022,"March","Evening","Thursday"
187,"2022-02-20","20:19:00","Female",64,"Clothing",2,"50.00","100.00",2022,"February","Evening","Sunday"
188,"2023-08-31","18:50:00","Male",40,"Clothing",3,"25.00","75.00",2023,"August","Evening","Thursday"
189,"2022-01-02","09:44:00","Male",63,"Beauty",1,"50.00","50.00",2022,"January","Morning","Sunday"
190,"2023-01-25","17:56:00","Female",60,"Beauty",3,"30.00","90.00",2023,"January","Evening","Wednesday"
191,"2023-12-22","21:24:00","Male",64,"Beauty",1,"25.00","25.00",2023,"December","Night","Friday"
192,"2022-11-08","08:05:00","Male",62,"Beauty",2,"50.00","100.00",2022,"November","Morning","Tuesday"
193,"2022-03-27","10:40:00","Male",35,"Beauty",3,"500.00","1500.00",2022,"March","Morning","Sunday"
194,"2023-10-11","19:27:00","Male",55,"Clothing",4,"50.00","200.00",2023,"October","Evening","Wednesday"
195,"2022-08-14","11:51:00","Male",52,"Clothing",1,"30.00","30.00",2022,"August","Morning","Sunday"
196,"2023-12-29","19:14:00","Female",32,"Clothing",3,"300.00","900.00",2023,"December","Evening","Friday"
197,"2022-04-03","11:57:00","Female",42,"Clothing",4,"50.00","200.00",2022,"April","Morning","Sunday"
198,"2022-05-21","11:42:00","Female",54,"Beauty",3,"300.00","900.00",2022,"May","Morning","Saturday"
199,"2023-10-26","21:34:00","Male",45,"Beauty",3,"500.00","1500.00",2023,"October","Night","Thursday"
200,"2022-10-09","22:29:00","Male",27,"Beauty",3,"50.00","150.00",2022,"October","Night","Sunday"
201,"2022-10-13","19:08:00","Male",56,"Electronics",1,"25.00","25.00",2022,"October","Evening","Thursday"
202,"2023-01-25","06:24:00","Female",34,"Clothing",4,"300.00","1200.00",2023,"January","Morning","Wednesday"
203,"2023-03-12","21:33:00","Male",56,"Clothing",2,"500.00","1000.00",2023,"March","Night","Sunday"
204,"2022-09-10","21:04:00","Male",39,"Beauty",1,"25.00","25.00",2022,"September","Night","Saturday"
205,"2022-11-22","17:20:00","Female",43,"Clothing",1,"25.00","25.00",2022,"November","Evening","Tuesday"
206,"2022-09-02","18:18:00","Male",61,"Clothing",1,"25.00","25.00",2022,"September","Evening","Friday"
207,"2023-08-06","08:34:00","Female",42,"Beauty",2,"25.00","50.00",2023,"August","Morning","Sunday"
208,"2023-10-21","20:56:00","Female",34,"Electronics",4,"50.00","200.00",2023,"October","Evening","Saturday"
209,"2022-09-03","12:22:00","Female",30,"Electronics",4,"50.00","200.00",2022,"September","Afternoon","Saturday"
210,"2023-10-07","08:50:00","Male",37,"Electronics",4,"50.00","200.00",2023,"October","Morning","Saturday"
211,"2022-09-12","14:02:00","Male",42,"Beauty",3,"500.00","1500.00",2022,"September","Afternoon","Monday"
212,"2023-10-12","18:13:00","Male",21,"Clothing",3,"500.00","1500.00",2023,"October","Evening","Thursday"
213,"2023-08-13","20:48:00","Male",27,"Beauty",3,"500.00","1500.00",2023,"August","Evening","Sunday"
214,"2022-11-05","16:31:00","Male",20,"Beauty",2,"30.00","60.00",2022,"November","Afternoon","Saturday"
215,"2022-10-03","21:20:00","Male",58,"Clothing",3,"500.00","1500.00",2022,"October","Night","Monday"
216,"2022-11-04","17:28:00","Male",62,"Electronics",2,"50.00","100.00",2022,"November","Evening","Friday"
217,"2022-05-02","17:01:00","Female",35,"Electronics",4,"50.00","200.00",2022,"May","Evening","Monday"
218,"2022-11-24","20:39:00","Male",64,"Beauty",3,"30.00","90.00",2022,"November","Evening","Thursday"
219,"2023-09-16","22:34:00","Female",53,"Electronics",3,"30.00","90.00",2023,"September","Night","Saturday"
220,"2022-05-07","06:44:00","Male",64,"Beauty",1,"500.00","500.00",2022,"May","Morning","Saturday"
221,"2023-11-27","21:01:00","Male",39,"Beauty",2,"300.00","600.00",2023,"November","Night","Monday"
222,"2023-01-07","18:56:00","Male",51,"Clothing",4,"30.00","120.00",2023,"January","Evening","Saturday"
223,"2022-01-15","11:18:00","Female",64,"Clothing",1,"25.00","25.00",2022,"January","Morning","Saturday"
224,"2022-11-11","21:32:00","Female",25,"Clothing",1,"50.00","50.00",2022,"November","Night","Friday"
225,"2022-03-05","07:37:00","Female",57,"Beauty",4,"25.00","100.00",2022,"March","Morning","Saturday"
226,"2022-09-23","17:02:00","Female",61,"Clothing",1,"50.00","50.00",2022,"September","Evening","Friday"
227,"2023-11-15","19:19:00","Male",36,"Electronics",2,"50.00","100.00",2023,"November","Evening","Wednesday"
228,"2023-04-03","20:26:00","Female",59,"Electronics",2,"30.00","60.00",2023,"April","Evening","Monday"
229,"2023-11-09","19:23:00","Male",58,"Beauty",3,"30.00","90.00",2023,"November","Evening","Thursday"
230,"2023-03-26","17:44:00","Male",54,"Beauty",1,"25.00","25.00",2023,"March","Evening","Sunday"
231,"2022-07-09","07:02:00","Female",23,"Clothing",3,"50.00","150.00",2022,"July","Morning","Saturday"
232,"2022-08-12","07:14:00","Female",43,"Beauty",1,"25.00","25.00",2022,"August","Morning","Friday"
233,"2022-09-03","13:09:00","Female",51,"Beauty",2,"300.00","600.00",2022,"September","Afternoon","Saturday"
234,"2023-12-09","17:42:00","Female",62,"Electronics",2,"25.00","50.00",2023,"December","Evening","Saturday"
235,"2022-03-10","10:13:00","Female",23,"Electronics",2,"500.00","1000.00",2022,"March","Morning","Thursday"
236,"2023-04-01","22:18:00","Female",54,"Clothing",1,"25.00","25.00",2023,"April","Night","Saturday"
237,"2022-04-11","08:54:00","Female",50,"Beauty",2,"500.00","1000.00",2022,"April","Morning","Monday"
238,"2022-05-10","11:52:00","Female",39,"Beauty",1,"500.00","500.00",2022,"May","Morning","Tuesday"
239,"2022-09-19","19:34:00","Male",38,"Electronics",3,"500.00","1500.00",2022,"September","Evening","Monday"
240,"2022-11-05","11:49:00","Female",23,"Beauty",1,"300.00","300.00",2022,"November","Morning","Saturday"
241,"2023-12-19","20:21:00","Female",23,"Electronics",3,"25.00","75.00",2023,"December","Evening","Tuesday"
242,"2023-10-01","18:28:00","Male",21,"Clothing",1,"25.00","25.00",2023,"October","Evening","Sunday"
243,"2023-06-24","18:02:00","Female",47,"Electronics",3,"300.00","900.00",2023,"June","Evening","Saturday"
244,"2023-09-14","13:57:00","Male",28,"Beauty",2,"50.00","100.00",2023,"September","Afternoon","Thursday"
245,"2023-12-01","21:41:00","Male",47,"Clothing",3,"30.00","90.00",2023,"December","Night","Friday"
246,"2023-12-07","20:05:00","Female",48,"Electronics",2,"25.00","50.00",2023,"December","Evening","Thursday"
247,"2022-12-23","17:56:00","Male",41,"Electronics",2,"30.00","60.00",2022,"December","Evening","Friday"
248,"2022-07-02","07:11:00","Male",26,"Clothing",3,"300.00","900.00",2022,"July","Morning","Saturday"
249,"2022-09-28","20:17:00","Male",20,"Clothing",1,"50.00","50.00",2022,"September","Evening","Wednesday"
250,"2022-12-24","23:00:00","Male",48,"Electronics",1,"50.00","50.00",2022,"December","Night","Saturday"
251,"2022-09-15","21:00:00","Female",57,"Beauty",4,"50.00","200.00",2022,"September","Night","Thursday"
252,"2023-05-05","17:37:00","Male",54,"Electronics",1,"300.00","300.00",2023,"May","Evening","Friday"
253,"2022-09-30","21:26:00","Female",53,"Clothing",4,"500.00","2000.00",2022,"September","Night","Friday"
254,"2022-12-14","22:45:00","Male",41,"Electronics",1,"500.00","500.00",2022,"December","Night","Wednesday"
255,"2023-10-15","11:44:00","Male",48,"Clothing",1,"30.00","30.00",2023,"October","Morning","Sunday"
256,"2022-01-09","08:05:00","Male",23,"Clothing",2,"500.00","1000.00",2022,"January","Morning","Sunday"
257,"2022-12-10","08:49:00","Male",19,"Beauty",4,"500.00","2000.00",2022,"December","Morning","Saturday"
